======================================================================
EVALUATION RESULTS - CORRECT VERSION
======================================================================

Model: resnet18
Checkpoint: ./model/resnet18-unet-ori/resnet18_best_dice.pth
Test set: ./dataset/augmented/test
Num samples: 522
Mask encoding: 0=background, >0=disease

IOU: 0.1848 ± 0.1675
DICE: 0.2821 ± 0.2137
ACCURACY: 0.4698 ± 0.2160
PRECISION: 0.2003 ± 0.1935
RECALL: 0.8923 ± 0.1944
F1: 0.2821 ± 0.2137


PER-IMAGE RESULTS:
Name                 IoU     Dice      Acc     Prec   Recall       F1
00127_style6      0.0920   0.1685   0.4306   0.0923   0.9695   0.1685
00127_style7      0.0188   0.0369   0.6536   0.0221   0.1115   0.0369
00142             0.3419   0.5096   0.9295   0.3787   0.7788   0.5096
00142_style0      0.0896   0.1645   0.5221   0.0896   1.0000   0.1645
00142_style1      0.0576   0.1090   0.2311   0.0576   1.0000   0.1090
00142_style2      0.0545   0.1034   0.1840   0.0545   1.0000   0.1034
00142_style3      0.0536   0.1017   0.1689   0.0536   1.0000   0.1017
00142_style4      0.0897   0.1647   0.5236   0.0897   0.9983   0.1647
00142_style5      0.0789   0.1463   0.4520   0.0789   0.9979   0.1463
00142_style6      0.0726   0.1354   0.3992   0.0726   1.0000   0.1354
00142_style7      0.1491   0.2596   0.7450   0.1503   0.9504   0.2596
00159             0.4428   0.6138   0.9377   0.4822   0.8440   0.6138
00159_style0      0.0879   0.1616   0.3913   0.0879   1.0000   0.1616
00159_style1      0.0733   0.1365   0.2582   0.0733   1.0000   0.1365
00159_style2      0.0747   0.1390   0.2733   0.0747   1.0000   0.1390
00159_style3      0.0725   0.1351   0.2491   0.0725   1.0000   0.1351
00159_style4      0.1185   0.2118   0.5734   0.1188   0.9772   0.2118
00159_style5      0.1082   0.1953   0.5249   0.1084   0.9827   0.1953
00159_style6      0.1037   0.1880   0.5016   0.1039   0.9834   0.1880
00159_style7      0.0698   0.1305   0.6695   0.0771   0.4227   0.1305
00163             0.5285   0.6915   0.7776   0.5611   0.9010   0.6915
00163_style0      0.4509   0.6216   0.6631   0.4509   1.0000   0.6216
00163_style1      0.3436   0.5114   0.4713   0.3436   1.0000   0.5114
00163_style2      0.3322   0.4987   0.4438   0.3322   1.0000   0.4987
00163_style3      0.3443   0.5123   0.4731   0.3443   1.0000   0.5123
00163_style4      0.3517   0.5204   0.6284   0.4047   0.7287   0.5204
00163_style5      0.3957   0.5670   0.6072   0.4079   0.9296   0.5670
00163_style6      0.4016   0.5730   0.5881   0.4017   0.9990   0.5730
00163_style7      0.5016   0.6680   0.7956   0.6066   0.7433   0.6680
00166             0.7823   0.8778   0.9461   0.8027   0.9684   0.8778
00166_style0      0.2944   0.4549   0.5209   0.2944   1.0000   0.4549
00166_style1      0.2543   0.4055   0.4139   0.2543   1.0000   0.4055
00166_style2      0.2526   0.4033   0.4085   0.2526   1.0000   0.4033
00166_style3      0.2369   0.3830   0.3560   0.2369   1.0000   0.3830
00166_style4      0.4120   0.5835   0.7146   0.4120   1.0000   0.5835
00166_style5      0.3066   0.4694   0.5480   0.3066   1.0000   0.4694
00166_style6      0.3177   0.4822   0.5707   0.3177   1.0000   0.4822
00166_style7      0.1162   0.2082   0.6241   0.1799   0.2472   0.2082
00196             0.0119   0.0234   0.7891   0.0149   0.0549   0.0234
00196_style0      0.0587   0.1109   0.2608   0.0587   1.0000   0.1109
00196_style1      0.0527   0.1002   0.2290   0.0529   0.9312   0.1002
00196_style2      0.0515   0.0979   0.1507   0.0515   1.0000   0.0979
00196_style3      0.0514   0.0977   0.1492   0.0514   1.0000   0.0977
00196_style4      0.0554   0.1049   0.3822   0.0562   0.7859   0.1049
00196_style5      0.0570   0.1079   0.2518   0.0571   0.9823   0.1079
00196_style6      0.0596   0.1124   0.2890   0.0597   0.9775   0.1124
00196_style7      0.0671   0.1257   0.4801   0.0681   0.8110   0.1257
00203             0.5155   0.6803   0.9661   0.8924   0.5497   0.6803
00203_style0      0.0870   0.1600   0.3526   0.0874   0.9407   0.1600
00203_style1      0.0751   0.1397   0.2642   0.0757   0.9115   0.1397
00203_style2      0.0791   0.1465   0.2610   0.0793   0.9678   0.1465
