======================================================================
EVALUATION RESULTS - CORRECT VERSION
======================================================================

Model: resnet50
Checkpoint: ./model/resnet50-unet-aug/loss3_bce_ftv_lap/resnet50_best_dice.pth
Test set: ./dataset/augmented/test
Num samples: 522
Mask encoding: 0=background, >0=disease

IOU: 0.2394 ± 0.2007
DICE: 0.3475 ± 0.2428
ACCURACY: 0.5888 ± 0.2581
PRECISION: 0.2671 ± 0.2344
RECALL: 0.8685 ± 0.1880
F1: 0.3475 ± 0.2428


PER-IMAGE RESULTS:
Name                 IoU     Dice      Acc     Prec   Recall       F1
00142_style2      0.0573   0.1084   0.2260   0.0573   1.0000   0.1084
00142_style3      0.0657   0.1233   0.3312   0.0657   1.0000   0.1233
00142_style4      0.1389   0.2439   0.7086   0.1389   0.9992   0.2439
00142_style5      0.3272   0.4931   0.9163   0.3447   0.8661   0.4931
00142_style6      0.1971   0.3293   0.8090   0.1972   0.9970   0.3293
00142_style7      0.2268   0.3698   0.8597   0.2344   0.8750   0.3698
00159             0.4311   0.6024   0.9356   0.4722   0.8318   0.6024
00159_style0      0.0940   0.1718   0.4347   0.0940   1.0000   0.1718
00159_style1      0.0619   0.1166   0.1115   0.0619   1.0000   0.1166
00159_style2      0.0811   0.1501   0.3358   0.0811   1.0000   0.1501
00159_style3      0.0784   0.1453   0.3101   0.0784   1.0000   0.1453
00159_style4      0.1609   0.2773   0.7059   0.1620   0.9619   0.2773
00159_style5      0.1972   0.3294   0.7742   0.1994   0.9456   0.3294
00159_style6      0.1256   0.2231   0.5983   0.1258   0.9834   0.2231
00159_style7      0.2321   0.3768   0.8505   0.2493   0.7706   0.3768
00163             0.3519   0.5206   0.7750   0.6343   0.4414   0.5206
00163_style0      0.5528   0.7120   0.7841   0.5643   0.9645   0.7120
00163_style1      0.2921   0.4522   0.3295   0.2921   1.0000   0.4522
00163_style2      0.3480   0.5163   0.4818   0.3480   0.9997   0.5163
00163_style3      0.4393   0.6104   0.6475   0.4396   0.9981   0.6104
00163_style4      0.4065   0.5780   0.7118   0.4859   0.7132   0.5780
00163_style5      0.5551   0.7139   0.8234   0.6470   0.7962   0.7139
00163_style6      0.5434   0.7042   0.8084   0.6146   0.8244   0.7042
00163_style7      0.3698   0.5399   0.8192   0.9124   0.3834   0.5399
00166             0.7031   0.8256   0.9243   0.7649   0.8969   0.8256
00166_style0      0.4157   0.5873   0.7208   0.4168   0.9935   0.5873
00166_style1      0.2120   0.3499   0.2570   0.2120   1.0000   0.3499
00166_style2      0.2488   0.3985   0.3964   0.2488   1.0000   0.3985
00166_style3      0.2471   0.3963   0.3910   0.2471   1.0000   0.3963
00166_style4      0.5931   0.7446   0.8628   0.5931   1.0000   0.7446
00166_style5      0.5934   0.7449   0.8760   0.6325   0.9057   0.7449
00166_style6      0.5475   0.7076   0.8396   0.5567   0.9707   0.7076
00166_style7      0.4891   0.6569   0.8037   0.5049   0.9398   0.6569
00196             0.0001   0.0003   0.8589   0.0002   0.0004   0.0003
00196_style0      0.0586   0.1107   0.3468   0.0591   0.8824   0.1107
00196_style1      0.0477   0.0911   0.0806   0.0477   1.0000   0.0911
00196_style2      0.0548   0.1040   0.2057   0.0548   1.0000   0.1040
00196_style3      0.0556   0.1054   0.2203   0.0556   0.9965   0.1054
00196_style4      0.1022   0.1855   0.6855   0.1053   0.7772   0.1855
00196_style5      0.0871   0.1603   0.6103   0.0890   0.8071   0.1603
