======================================================================
EVALUATION RESULTS - CORRECT VERSION
======================================================================

Model: resnet18-aug
Checkpoint: ./model/resnet18-unet-aug/resnet18_best_dice.pth
Test set: ./dataset/augmented/test
Num samples: 522
Mask encoding: 0=background, >0=disease

IOU: 0.2748 ± 0.2088
DICE: 0.3915 ± 0.2452
ACCURACY: 0.7018 ± 0.1991
PRECISION: 0.3112 ± 0.2453
RECALL: 0.8248 ± 0.2012
F1: 0.3915 ± 0.2452


PER-IMAGE RESULTS:
Name                 IoU     Dice      Acc     Prec   Recall       F1
00270_style4      0.0582   0.1099   0.7299   0.0582   0.9952   0.1099
00270_style5      0.0776   0.1440   0.8055   0.0778   0.9762   0.1440
00270_style6      0.0574   0.1086   0.7365   0.0575   0.9572   0.1086
00270_style7      0.0633   0.1191   0.7945   0.0642   0.8288   0.1191
00281             0.5635   0.7209   0.7909   0.6953   0.7483   0.7209
00281_style0      0.5301   0.6929   0.7853   0.7159   0.6713   0.6929
00281_style1      0.4719   0.6412   0.6550   0.5131   0.8547   0.6412
00281_style2      0.3240   0.4894   0.6544   0.5239   0.4592   0.4894
00281_style3      0.4563   0.6266   0.7592   0.7112   0.5600   0.6266
00281_style4      0.4685   0.6381   0.7655   0.7200   0.5729   0.6381
00281_style5      0.4713   0.6407   0.7600   0.6966   0.5931   0.6407
00281_style6      0.5183   0.6827   0.7681   0.6740   0.6916   0.6827
00281_style7      0.4583   0.6285   0.7667   0.7386   0.5470   0.6285
00284             0.0667   0.1250   0.9129   0.0667   0.9905   0.1250
00284_style0      0.0271   0.0527   0.7743   0.0271   1.0000   0.0527
00284_style1      0.0081   0.0161   0.2320   0.0081   1.0000   0.0161
00284_style2      0.0084   0.0167   0.2622   0.0084   1.0000   0.0167
00284_style3      0.0104   0.0206   0.4039   0.0104   1.0000   0.0206
00284_style4      0.0292   0.0567   0.7912   0.0292   1.0000   0.0567
00284_style5      0.0306   0.0593   0.8167   0.0307   0.9206   0.0593
00284_style6      0.0217   0.0424   0.8118   0.0219   0.6635   0.0424
00284_style7      0.0434   0.0831   0.8615   0.0434   1.0000   0.0831
00296             0.6618   0.7965   0.9741   0.7890   0.8042   0.7965
00296_style0      0.1520   0.2638   0.7154   0.1576   0.8096   0.2638
00296_style1      0.1038   0.1881   0.5008   0.1048   0.9177   0.1881
00296_style2      0.1090   0.1966   0.6409   0.1144   0.6976   0.1966
00296_style3      0.1420   0.2486   0.6429   0.1433   0.9377   0.2486
00296_style4      0.2181   0.3581   0.8186   0.2304   0.8029   0.3581
00296_style5      0.2732   0.4291   0.8519   0.2834   0.8836   0.4291
00296_style6      0.1485   0.2587   0.7162   0.1548   0.7858   0.2587
00296_style7      0.1971   0.3293   0.8306   0.2193   0.6599   0.3293
00300             0.2718   0.4274   0.8171   0.3977   0.4619   0.4274
00300_style0      0.1008   0.1832   0.6395   0.1377   0.2734   0.1832
00300_style1      0.1725   0.2943   0.6079   0.2005   0.5531   0.2943
00300_style2      0.1397   0.2451   0.2828   0.1451   0.7876   0.2451
00300_style3      0.1683   0.2882   0.4412   0.1775   0.7651   0.2882
00300_style4      0.3626   0.5322   0.8150   0.4249   0.7119   0.5322
00300_style5      0.3414   0.5090   0.8152   0.4191   0.6481   0.5090
00300_style6      0.4382   0.6093   0.8733   0.5597   0.6686   0.6093
00300_style7      0.1681   0.2878   0.7733   0.2687   0.3100   0.2878
00344             0.0203   0.0397   0.7977   0.0205   0.6908   0.0397
00344_style0      0.0058   0.0115   0.6470   0.0058   0.3388   0.0115
00344_style1      0.0072   0.0142   0.1601   0.0072   1.0000   0.0142
00344_style2      0.0076   0.0151   0.3593   0.0076   0.8125   0.0151
00344_style3      0.0126   0.0249   0.5260   0.0126   1.0000   0.0249
00344_style4      0.0165   0.0325   0.6451   0.0165   0.9836   0.0325
00344_style5      0.0092   0.0182   0.3700   0.0092   0.9638   0.0182
00344_style6      0.0153   0.0301   0.6282   0.0153   0.9507   0.0301
00344_style7      0.0274   0.0534   0.7886   0.0274   0.9836   0.0534
00348             0.1624   0.2794   0.7857   0.5605   0.1861   0.2794
00348_style0      0.1150   0.2063   0.7451   0.3383   0.1484   0.2063
00348_style1      0.3304   0.4967   0.5806   0.3392   0.9267   0.4967
00348_style2      0.3178   0.4823   0.5534   0.3254   0.9319   0.4823
00348_style3      0.3186   0.4832   0.5656   0.3290   0.9095   0.4832
00348_style4      0.2657   0.4198   0.7717   0.4854   0.3699   0.4198
00348_style5      0.1165   0.2087   0.7704   0.4528   0.1356   0.2087
00348_style6      0.3325   0.4991   0.8098   0.6057   0.4244   0.4991
00348_style7      0.3352   0.5021   0.7828   0.5142   0.4905   0.5021
00352             0.1370   0.2409   0.9763   0.1627   0.4644   0.2409
00352_style0      0.0166   0.0326   0.6937   0.0167   0.6364   0.0326
00352_style1      0.0124   0.0245   0.3538   0.0124   1.0000   0.0245
00352_style2      0.0107   0.0212   0.2719   0.0107   0.9730   0.0212
00352_style3      0.0148   0.0292   0.6758   0.0150   0.6020   0.0292
00352_style4      0.0652   0.1224   0.9425   0.0698   0.4939   0.1224
00352_style5      0.0640   0.1204   0.9438   0.0689   0.4742   0.1204
00352_style6      0.0458   0.0877   0.9295   0.0490   0.4177   0.0877
00352_style7      0.0919   0.1683   0.9639   0.1035   0.4496   0.1683
00367             0.8923   0.9431   0.9834   0.9091   0.9797   0.9431
00367_style0      0.1985   0.3312   0.4935   0.2032   0.8945   0.3312
00367_style1      0.1855   0.3130   0.3845   0.1855   1.0000   0.3130
00367_style2      0.1957   0.3274   0.4410   0.1969   0.9703   0.3274
00367_style3      0.2195   0.3599   0.5013   0.2195   1.0000   0.3599
00367_style4      0.6320   0.7745   0.9227   0.6553   0.9467   0.7745
00367_style5      0.8165   0.8990   0.9693   0.8356   0.9727   0.8990
00367_style6      0.6930   0.8187   0.9423   0.7320   0.9286   0.8187
00367_style7      0.3303   0.4966   0.7422   0.3419   0.9069   0.4966
00370             0.4724   0.6417   0.9142   0.4740   0.9930   0.6417
